,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,month,year,m2_lot,price_m2_lot,m2_living,m2_basement,level,seasons,numeric_seasons,price_region,price_seasons,buy
0,7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955-01-01,0,98178,47.5112,-122.257,1340,5650,10,2014,524.9,422.75,109.63,0.0,good,fall,3,413.625,423.57,yes_buy
1,2976800796,2014-09-25,236000.0,3,1.0,1300,5898,1.0,0,0,3,7,1300,0,1961-01-01,0,98178,47.5053,-122.255,1320,7619,9,2014,547.94,430.7,120.77,0.0,good,fall,3,413.625,423.57,no_buy
2,1180003090,2014-09-06,190000.0,2,1.0,630,6000,1.0,0,0,3,6,630,0,1943-01-01,2005,98178,47.4973,-122.221,1470,6840,9,2014,557.42,340.86,58.53,0.0,good,fall,3,413.625,423.57,yes_buy
3,2171400197,2014-09-18,350000.0,5,3.0,2520,5500,1.0,0,0,3,8,1550,970,2004-01-01,0,98178,47.4938,-122.255,1700,8000,9,2014,510.97,684.97,234.12,90.12,good,fall,3,413.625,423.57,no_buy
4,1180002378,2014-09-26,299000.0,4,2.5,1950,3000,2.0,0,0,3,7,1950,0,2002-01-01,0,98178,47.4977,-122.226,1170,6000,9,2014,278.71,1072.8,181.16,0.0,good,fall,3,413.625,423.57,no_buy
5,1180500070,2014-11-24,335000.0,4,2.5,2330,7050,2.0,0,0,3,8,2330,0,1998-01-01,0,98178,47.5001,-122.231,1810,5424,11,2014,654.97,511.47,216.46,0.0,good,fall,3,413.625,423.57,no_buy
6,179000350,2014-11-05,194000.0,3,1.5,1010,5000,1.0,0,0,3,6,1010,0,1943-01-01,0,98178,47.4925,-122.278,980,5000,11,2014,464.52,417.64,93.83,0.0,good,fall,3,413.625,423.57,yes_buy
7,3810000202,2014-09-05,251700.0,3,2.25,1810,11800,1.0,0,0,3,7,1240,570,1977-01-01,0,98178,47.4997,-122.231,1810,5641,9,2014,1096.26,229.6,168.15,52.95,good,fall,3,413.625,423.57,yes_buy
8,4058802105,2014-09-04,150000.0,3,1.0,1450,6776,1.0,0,0,3,7,1450,0,1952-01-01,0,98178,47.5056,-122.244,1680,7200,9,2014,629.51,238.28,134.71,0.0,good,fall,3,413.625,423.57,yes_buy
9,7878400135,2014-11-20,355000.0,3,2.25,2550,9674,1.0,0,0,3,7,1850,700,1959-01-01,0,98178,47.4856,-122.247,2240,9674,11,2014,898.74,395.0,236.9,65.03,good,fall,3,413.625,423.57,yes_buy
10,7887200390,2014-09-26,294000.0,3,1.0,1320,9520,1.0,0,0,3,7,990,330,1953-01-01,0,98178,47.4857,-122.253,1460,10610,9,2014,884.44,332.41,122.63,30.66,good,fall,3,413.625,423.57,yes_buy
11,179003055,2014-11-13,210000.0,3,1.0,1200,7500,1.0,0,0,3,6,1200,0,1905-01-01,1989,98178,47.4921,-122.275,1010,7000,11,2014,696.77,301.39,111.48,0.0,good,fall,3,413.625,423.57,yes_buy
12,8073000495,2014-10-10,700000.0,2,1.0,1160,17635,1.0,1,4,3,6,1160,0,1945-01-01,0,98178,47.5117,-122.248,1510,13122,10,2014,1638.34,427.26,107.77,0.0,good,fall,3,413.625,423.57,no_buy
13,7813200115,2014-09-04,100000.0,2,1.0,790,6426,1.0,0,0,3,6,790,0,1944-01-01,0,98178,47.4933,-122.245,1380,6946,9,2014,596.99,167.51,73.39,0.0,good,fall,3,413.625,423.57,yes_buy
14,4058801240,2014-10-28,330000.0,3,2.25,1620,7150,1.0,0,2,4,7,1280,340,1950-01-01,0,98178,47.5048,-122.241,1620,6930,10,2014,664.26,496.79,150.5,31.59,good,fall,3,413.625,423.57,no_buy
15,3352402250,2014-10-21,119900.0,2,1.0,700,3180,1.0,0,0,3,6,480,220,1951-01-01,0,98178,47.4976,-122.262,1760,6360,10,2014,295.43,405.85,65.03,20.44,good,fall,3,413.625,423.57,yes_buy
16,399000195,2014-10-20,200000.0,3,1.0,960,7500,1.0,0,0,3,6,960,0,1953-01-01,0,98178,47.4966,-122.255,1250,6000,10,2014,696.77,287.04,89.19,0.0,good,fall,3,413.625,423.57,yes_buy
17,8073000265,2014-09-18,360000.0,3,2.0,1960,8846,1.0,0,3,4,6,980,980,1940-01-01,0,98178,47.5101,-122.246,2190,6363,9,2014,821.82,438.05,182.09,91.04,good,fall,3,413.625,423.57,no_buy
18,1180500100,2014-09-24,353000.0,4,2.75,1920,4627,1.0,0,0,3,8,1010,910,1998-01-01,0,98178,47.5003,-122.23,1910,7210,9,2014,429.86,821.2,178.37,84.54,good,fall,3,413.625,423.57,no_buy
19,185000161,2014-10-15,261000.0,3,1.0,1780,7800,1.0,0,0,3,7,1060,720,1957-01-01,0,98178,47.4932,-122.263,1450,7800,10,2014,724.64,360.18,165.37,66.89,good,fall,3,413.625,423.57,yes_buy
20,4058801310,2014-10-09,287000.0,2,1.0,930,6900,1.0,0,2,3,7,930,0,1952-01-01,0,98178,47.506,-122.242,1910,7194,10,2014,641.03,447.72,86.4,0.0,good,fall,3,413.625,423.57,no_buy
21,8068000305,2014-11-04,241000.0,3,1.0,1150,10000,1.0,0,0,3,6,1000,150,1951-01-01,0,98178,47.5075,-122.262,1340,10000,11,2014,929.03,259.41,106.84,13.94,good,fall,3,413.625,423.57,yes_buy
22,3810000480,2014-09-19,350000.0,3,1.75,2010,6150,2.0,0,0,5,7,2010,0,1939-01-01,0,98178,47.4975,-122.231,1770,7380,9,2014,571.35,612.58,186.74,0.0,excelent,fall,3,413.625,423.57,no_buy
23,3878900185,2014-10-22,303100.0,3,1.5,1640,5650,1.0,0,0,3,8,1640,0,1952-01-01,0,98178,47.509,-122.251,1640,5650,10,2014,524.9,577.44,152.36,0.0,good,fall,3,413.625,423.57,no_buy
24,4058200630,2014-10-02,353000.0,3,1.75,2190,7021,1.0,0,2,4,7,1390,800,1953-01-01,0,98178,47.5033,-122.232,2180,7155,10,2014,652.27,541.19,203.46,74.32,good,fall,3,413.625,423.57,no_buy
25,3810000455,2014-09-08,340000.0,4,2.25,2060,8400,1.0,0,0,3,7,1300,760,1960-01-01,0,98178,47.4984,-122.23,1990,7383,9,2014,780.39,435.68,191.38,70.61,good,fall,3,413.625,423.57,no_buy
26,4058200985,2014-09-11,472000.0,3,1.75,2180,7200,1.0,0,3,4,8,1090,1090,1954-01-01,0,98178,47.5044,-122.235,2180,7140,9,2014,668.9,705.64,202.53,101.26,good,fall,3,413.625,423.57,no_buy
27,7812800865,2014-11-19,170000.0,2,1.0,810,9882,1.0,0,0,3,6,810,0,1944-01-01,0,98178,47.4925,-122.239,950,7200,11,2014,918.07,185.17,75.25,0.0,good,fall,3,413.625,423.57,yes_buy
28,7657600195,2014-11-05,199950.0,3,1.0,1340,7260,1.5,0,0,3,6,1340,0,1944-01-01,0,98178,47.4934,-122.237,1210,7260,11,2014,674.48,296.45,124.49,0.0,good,fall,3,413.625,423.57,yes_buy
29,1180000625,2014-10-29,315000.0,4,2.5,1950,3225,2.0,0,0,3,7,1950,0,2002-01-01,0,98178,47.5014,-122.226,1980,3225,10,2014,299.61,1051.37,181.16,0.0,good,fall,3,413.625,423.57,no_buy
30,9218400088,2014-11-19,495000.0,5,1.0,1810,11205,1.5,0,2,3,7,1810,0,1915-01-01,0,98178,47.5099,-122.262,1860,7965,11,2014,1040.98,475.51,168.15,0.0,good,fall,3,413.625,423.57,no_buy
31,2520900301,2014-10-22,239300.0,3,1.0,1070,5750,1.0,0,0,3,7,1070,0,1952-01-01,0,98178,47.5071,-122.255,1420,6500,10,2014,534.19,447.97,99.41,0.0,good,fall,3,413.625,423.57,no_buy
32,7812800515,2014-10-25,159075.0,4,1.5,1580,6200,1.0,0,0,3,6,790,790,1944-01-01,0,98178,47.4971,-122.24,1320,6499,10,2014,576.0,276.17,146.79,73.39,good,fall,3,413.625,423.57,yes_buy
33,7689600650,2014-09-17,323500.0,3,3.0,2240,11536,2.0,0,0,3,7,2240,0,1943-01-01,2005,98178,47.4886,-122.245,1650,8760,9,2014,1071.73,301.85,208.1,0.0,good,fall,3,413.625,423.57,yes_buy
34,372000040,2014-10-03,304000.0,3,1.75,1720,6000,1.0,0,2,3,7,1000,720,1954-01-01,0,98178,47.4999,-122.223,1690,6000,10,2014,557.42,545.37,159.79,66.89,good,fall,3,413.625,423.57,no_buy
35,179001425,2014-10-24,230000.0,3,1.75,1420,3000,1.0,0,0,3,5,710,710,1931-01-01,2014,98178,47.4928,-122.274,1960,5000,10,2014,278.71,825.23,131.92,65.96,good,fall,3,413.625,423.57,no_buy
36,2976800115,2014-11-05,349170.0,4,1.75,1670,8856,1.0,0,2,3,7,1070,600,1955-01-01,0,98178,47.5056,-122.251,1660,8088,11,2014,822.75,424.39,155.15,55.74,good,fall,3,413.625,423.57,no_buy
37,7812800775,2014-09-10,264250.0,3,1.0,1420,7420,1.5,0,0,3,6,1420,0,1944-01-01,0,98178,47.4949,-122.239,1290,6600,9,2014,689.34,383.34,131.92,0.0,good,fall,3,413.625,423.57,yes_buy
38,4059400265,2014-11-14,339950.0,5,2.0,1890,6050,2.0,0,0,4,7,1890,0,1944-01-01,0,98178,47.5018,-122.242,1170,6050,11,2014,562.06,604.83,175.59,0.0,good,fall,3,413.625,423.57,no_buy
39,7390400026,2014-11-24,315000.0,4,1.75,1850,8580,1.0,0,0,3,7,1140,710,1960-01-01,0,98178,47.4877,-122.24,2210,9240,11,2014,797.11,395.18,171.87,65.96,good,fall,3,413.625,423.57,yes_buy
40,179000505,2014-10-24,257000.0,3,1.75,1800,9000,1.0,0,0,3,7,1200,600,1961-01-01,0,98178,47.4932,-122.278,980,6000,10,2014,836.13,307.37,167.23,55.74,good,fall,3,413.625,423.57,yes_buy
